map,map_family,width,height,solver_map_path,solver_map_sha256,grid_source,physical_map_sha256,adjacency_sha256,actual_solver_map_registered,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
empty-8-8,empty,8,8,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/maps/empty-8-8.map,42776e4904ec90689dd034fbd84524d671dc554472cc4221432b0c523d51f152,/root/czr004/external/lacam2/assets/empty-8-8.map,8f1b5495421b4c544ca84a45b0a41cf17e44c1a5aa9241c784bfe8478dbe79b5,36baae0d543eceb5eadd40dd12f0506a589c95ea10bad67b5534415ae60115dd,True,False,False,False,False,False
empty-16-16,empty,16,16,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/maps/empty-16-16.map,27a570a564cf8de828619efa09d510df95f0cbfe2840376b7c3e63c96413689a,/root/czr004/external/lacam2/scripts/map/empty-16-16.map,1c1b857d15592c2c961bfed474b7064f6987b3b7a20765061cd9d2210a727c6c,775bbbbdb6bae5cddce9ce954b3436f657a02172ce9048fbff53834d432fef58,True,False,False,False,False,False
empty-32-32,empty,32,32,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/maps/empty-32-32.map,5b11a28f65d09a0ba260b77cb698bb22c73cfe1e1f5e159997de6108cd31bf68,/root/czr004/external/lacam2/scripts/map/empty-32-32.map,3ad85daf37d87c531bc2a1574856ef380f50fdebf885d06a4b59a1a11b3938ab,8e18da7e64ce56a3f71dda801163250791a9856ff7b02aec72aee533b41e6656,True,False,False,False,False,False
random-8-8-20,random,8,8,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/maps/random-8-8-20.map,26f22f9ae5f6980b48a5be929abf7c6291ede5f3cacb1738876224ba1d10189f,/root/czr004/external/lacam2/scripts/map/random-8-8-20.map,2185f788d0e510a82194855d7ac44ffd2ef0c59ad334345e4dd6a29c52a569cc,3d2f97222a1473c13a123f78c65997016d9738ed4317157ac89e6b1c264a5b8a,True,False,False,False,False,False
random-32-32-10,random,32,32,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/maps/random-32-32-10.map,4240fddfa77d88b72ce779e02acf46a5ff056a3b04af5a4e35f7bc86cdfba3ec,/root/czr004/external/lacam2/assets/random-32-32-10.map,7f11aca3d4470c8f10b48705de9f56ab611bcbc595c5175215bbcc2b3e3aff83,c3b0477c32359a0b37da52fb9bedea533afc3f171261318259c1d749a3bbbd22,True,False,False,False,False,False
random-32-32-20,random,32,32,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/maps/random-32-32-20.map,8c5a83498ab92a2579aeef91c5f42d9ecf9019ef038cf98e623061a15beb6f56,/root/czr004/external/lacam2/assets/random-32-32-20.map,726bdb48f5e308daa9df7017c3497369e61e39c16da3ed88a77a4665c29a4557,6cf10d12535f6a8719675336e1cdf5a9c118759bdad223b702b0040f21ad92e6,True,False,False,False,False,False
maze-32-32-2,maze,32,32,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/maps/maze-32-32-2.map,5c549328775ce530072cb05eda8f9010235a7e29294806d6aebb0ad667479cd3,/root/czr004/external/lacam2/scripts/map/maze-32-32-2.map,5254a343a7522f22640390a6fa1428d1f6ca6c9523a15c311ab0b8a3c275d855,dd5de1073364df79464e3eaf9fb3f84ebc092ee5d88ee9e0e66e53285e668f5c,True,False,False,False,False,False
maze-36-32-4,maze,36,32,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/maps/maze-36-32-4.map,96ded52c98f958d617309cb5f08a7b67a93b5fc890a66a524907c781ae6a56fd,synthetic_reconstruction,1a385655eefa597ff90a1b67c4953fe9452091ff2b8a377cef7c505f6be9b673,ff5f70da5e7eb6ab298b3189fc50f8409bc63793d20d1dbe9e9ad83153b891cc,True,False,False,False,False,False
room-32-32-4,room,32,32,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/maps/room-32-32-4.map,f107fefbf63c7a1a3753e4a033452301a1cdd7043cab7f45e4ed0e7dec1e90a9,/root/czr004/external/lacam2/scripts/map/room-32-32-4.map,f6f86ccb27119d017e3463c169904daa4e8d5782cb153e152829b26c0d9be77c,4a1d3edbb1c1eab977b026326dbd022c33ef85583a678054161875f709717fb0,True,False,False,False,False,False
room-40-32-8,room,40,32,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/maps/room-40-32-8.map,733de983354977847a6b110d98192b2704e5ab0c52ef6a0367f9b4533878c177,synthetic_reconstruction,81fd9752b406bc567b72d22846c6720c24ee9d5a4c186f373f8729fcf70493aa,d1d51c8181c5b54b35cf72139d81e5d4cc62386ab9facc062fefaacf419768b7,True,False,False,False,False,False
